Requests,Load,Falha
0.25,0.32,0
0.00,0.17,0
0.07,0.22,0
0.09,0.05,0
0.09,0.09,0
0.05,0.45,0
0.06,0.90,0
0.80,0.21,0
0.04,0.49,0
0.05,0.46,0
0.01,0.18,0
0.08,0.40,0
0.02,0.11,0
0.00,0.07,0
0.10,0.87,0
0.70,0.31,0
0.02,0.17,0
0.02,0.24,0
0.07,0.45,0
0.06,0.40,0
0.05,0.58,0
0.02,0.31,0
0.54,0.00,0
0.10,0.41,0
0.10,0.56,0
0.23,0.34,0
0.05,0.26,0
0.06,0.13,0
0.65,0.38,0
0.71,0.23,0
0.70,0.23,0
0.43,0.83,1
0.53,0.39,0
0.06,0.13,0
0.10,0.03,0
0.06,0.38,0
0.28,0.43,0
0.02,0.98,0
0.10,0.09,0
0.09,0.12,0
0.89,0.27,0
0.07,0.39,0
0.06,0.47,0
0.07,0.38,0
0.35,0.02,0
0.04,0.05,0
0.05,0.28,0
0.04,0.79,0
0.01,0.04,0
0.06,0.11,0
0.02,0.47,0
0.03,0.87,0
0.07,0.98,0
0.04,0.50,0
0.06,0.06,0
0.51,0.06,0
0.77,0.28,0
0.47,0.11,0
0.41,0.40,0
0.08,0.76,1
0.00,0.21,0
0.00,0.44,0
0.06,0.17,0
0.08,0.26,0
0.05,0.21,0
0.07,0.25,0
0.07,0.35,0
0.04,0.24,0
0.03,0.85,0
0.75,0.47,0
0.56,0.20,0
0.50,0.26,0
0.79,0.34,0
0.43,0.02,0
0.06,0.38,0
0.07,0.31,0
0.09,0.47,0
0.07,0.29,0
0.01,0.25,0
0.03,0.13,0
0.09,0.31,0
0.03,0.14,0
0.05,0.25,0
0.05,0.02,0
0.10,0.45,0
0.05,0.33,0
0.05,0.45,0
0.06,0.10,0
0.06,0.21,0
0.06,0.13,0
0.10,0.13,0
0.06,0.17,0
0.04,0.31,0
0.05,0.24,0
0.04,0.19,0
0.01,0.10,0
0.02,0.02,0
0.09,0.12,0
0.10,0.34,0
0.02,0.08,0
0.04,0.49,0
0.07,0.49,0
0.07,0.16,0
0.06,0.28,0
0.06,0.36,0
0.05,0.44,0
0.09,0.36,0
0.07,0.31,0
0.03,0.11,0
0.04,0.37,0
0.01,0.43,0
0.09,0.12,0
0.01,0.34,0
0.74,0.40,0
0.66,0.34,0
0.53,0.82,0
0.44,0.36,0
0.74,0.85,1
0.09,0.37,0
0.09,0.25,0
0.08,0.10,0
0.10,0.24,0
0.03,0.28,0
0.02,0.33,0
0.05,0.25,0
0.00,0.28,0
0.09,0.05,0
0.04,0.13,0
0.03,0.40,0
0.08,0.35,0
0.00,0.27,0
0.05,0.26,0
0.09,0.28,0
0.10,0.30,0
0.06,0.46,0
0.10,0.36,0
